# Raiz final encontrada: 4.999999999999999
Iteracao,Raiz_Aproximada,Erro_Relativo
0,2.150811449462937,37.36209099892119
1,2.540405580593787,12.818458495955316
2,2.9668957144448687,0.5519781395664745
3,3.682862105774394,4.307450034402814
4,4.233090062437151,2.9465487073278798
5,4.6539612448172,1.2538803156542315
6,4.913304073732795,0.287899252834538
7,4.993296518481338,0.021515694814264942
8,4.999944704783859,0.00017694909445238572
9,4.999999991779627,2.6305193143335175e-08
10,4.999999999999999,2.8421709430404025e-15
